=== POKRYCIE: 151652/152666 = 99.34% | Brakuje: 1014 linii ===

=== GRUPA 1: Mają product_id, BRAK internal_sku (potrzebne mapowanie) ===
sku;asin;title;marketplace_id;brand;category;parent_asin;mapping_source;order_lines;total_revenue;currency;first_order;last_order
MAG_5906638375105;B0G52YS1GR;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Rot Gepunktet - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;6;179.95;EUR;2025-12-12 21:55:01+00:00;2026-02-27 12:32:11+00:00
MAG_5906638375150;B0G534C7JC;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Blumen - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;6;108.00;EUR;2025-12-11 11:19:56+00:00;2026-03-01 17:56:21+00:00
MAG_5906638375495;B0G5886VSY;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Rot Gepunktet - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;6;131.89;EUR;2025-12-24 12:32:32+00:00;2025-12-30 16:02:27+00:00
MAG_5906638375518;B0G5863YR4;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Folklore - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;6;153.65;EUR;2025-12-27 22:04:50+00:00;2026-02-18 15:54:48+00:00
MAG_5906638375440;B0G586SMTD;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Schwarz Gepunktet - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;6;109.75;EUR;2025-12-25 16:03:40+00:00;2026-02-08 20:58:58+00:00
MAG_5906638374702;B0G58N3C8L;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Blumen - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;6;101.56;EUR;2025-12-14 14:28:35+00:00;2026-03-01 21:48:57+00:00
MAG_5906638374733;B0G58KPZYD;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Grün/Gold - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;5;84.32;EUR;2025-12-12 13:19:51+00:00;2026-01-31 16:10:07+00:00
MAG_5906638377000;B0G5989LNN;KADAX Vorratsglas 3 L ohne Deckel - großes Gärglas für Sauerkraut, Kombucha & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;5;41.65;EUR;2025-12-27 15:56:22+00:00;2026-01-31 13:02:16+00:00
MAG_5906638375730;B0G5YMKN74;KADAX 24er Set Einmachgläser 580 ml mit Schraubdeckel in Grün/Gold - Stabile Gläser für Eingemachtes, Wurst, Fleisch, Saucen & Gemüse;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;5;119.75;EUR;2025-12-12 15:57:45+00:00;2026-01-22 14:03:54+00:00
MAG_5906638374320;B0G5254B4Z;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Rot Kariert - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;5;79.75;EUR;2025-12-08 08:36:51+00:00;2025-12-19 06:56:38+00:00
MAG_5906638375112;B0G534976N;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Herzen - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;5;107.70;EUR;2025-12-10 07:01:13+00:00;2026-02-22 15:42:03+00:00
MAG_5906638374481;B0G52RBR45;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Weiß - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;5;83.70;EUR;2025-12-21 04:29:08+00:00;2026-01-26 12:33:10+00:00
MAG_5906638374252;B0G522Q2JN;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Schwarz Gepunktet - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;5;95.56;EUR;2025-12-12 14:54:18+00:00;2026-01-22 02:38:18+00:00
BF-7J9L-R8QM;B01M1UT6AL;Rouleau de papier à bulles - Longueur : 100 m, largeur : 50 cm;A1PA6795UKMFR9;;;;spapi_ean_only;5;321.87;EUR;2025-12-09 07:13:52+00:00;2026-02-12 12:11:18+00:00
MAG_5906638309131;B0DK1C448B;KADAX Râteau en métal, râteau à copeaux longs, large râteau à tête renforcée, râteau de jardin à long manche en bois, outil de jardin robuste, râteau à gazon (32 dents, bleu);A1PA6795UKMFR9;;;B0DJ36V1HH;spapi_ean_only;4;139.80;EUR;2026-01-14 16:47:56+00:00;2026-03-01 18:14:54+00:00
MAG_5906638374368;B0G522FTN8;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Rot - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;4;47.85;EUR;2025-12-10 18:28:05+00:00;2025-12-14 07:38:55+00:00
MAG_5906638374238;B0G522TCJJ;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Grün - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;4;95.44;EUR;2025-12-07 18:29:30+00:00;2025-12-21 12:16:41+00:00
MAG_5906638374214;B0G524ST1N;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Silber - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;4;47.85;EUR;2025-12-09 14:18:20+00:00;2026-01-28 08:55:24+00:00
MAG_5906638374306;B0G524ZHVV;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Hähne - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;4;95.70;EUR;2025-12-14 19:24:34+00:00;2026-02-15 09:17:36+00:00
MAG_5906638374511;B0G52ST9KX;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Hellgrün - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;4;52.28;EUR;2026-02-27 11:04:46+00:00;2026-02-28 20:00:44+00:00
MAG_5906638374801;B0G58J555Z;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Beige/Blau - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;4;83.90;EUR;2025-12-06 09:12:55+00:00;2026-02-11 12:28:04+00:00
MAG_5906638375433;B0G588V1Z5;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Schwarz - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;4;87.80;EUR;2025-12-10 07:23:01+00:00;2026-02-07 09:25:26+00:00
MAG_5906638376287;B0G5Y24MSV;KADAX 24er Set Einmachgläser 540 ml mit Schraubdeckel in Schwarz - Luftdichte Vorratsgläser für Konserven, Eintöpfe, Hausmannskost & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;4;91.80;EUR;2026-01-01 18:40:43+00:00;2026-02-20 12:03:18+00:00
MAG_5906638374542;B0G58MN152;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Gold - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;4;84.47;EUR;2025-12-10 09:13:04+00:00;2025-12-14 06:09:11+00:00
MAG_5906638374610;B0G58L31GM;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Herz - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;50.71;EUR;2025-12-14 07:15:53+00:00;2026-02-01 08:18:46+00:00
MAG_5906638374559;B0G58KD2VD;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Schwarz - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;50.85;EUR;2025-12-09 07:56:49+00:00;2025-12-22 17:43:08+00:00
MAG_5906638375242;B0G58TVNP6;KADAX 20er Set Einmachgläser 315 ml mit Schraubdeckel in Schwarz Gepunktet - Vielseitige Vorratsgläser & Einmachgläser für Aufstriche, Pesto, Saucen & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;56.85;EUR;2025-12-25 19:18:39+00:00;2026-01-17 10:10:52+00:00
MAG_5906638377048;B0G593M6Z7;KADAX 2er Set Vorratsgläser 5 L mit Schraubdeckeln in Gold - große Gärgläser für Sauerkraut, Kombucha & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;94.45;EUR;2025-12-27 10:41:57+00:00;2026-01-11 15:00:54+00:00
MAG_5906638376515;B0G5MLGT3C;KADAX 24er Set Einmachgläser 900 ml mit Schraubdeckel in Gold - Große Vorratsgläser für Suppen, Fleisch, Saucen, Fermentation & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;85.40;EUR;2026-01-04 22:45:49+00:00;2026-01-05 19:45:16+00:00
MAG_5906638376843;B0G5NJYHKK;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Beige/Blau - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;84.75;EUR;2025-12-29 14:25:47+00:00;2026-01-12 15:06:26+00:00
MAG_5906638376867;B0G5NQNLNL;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Herzen - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;50.85;EUR;2025-12-24 16:48:08+00:00;2026-01-22 08:45:59+00:00
MAG_5906638375044;B0G5PQ8BG8;KADAX 10er Set Marmeladengläser 250 ml mit Schraubdeckel in Herzen - Dickwandige Einmachgläser für Marmelade, Eingemachtes, Aufstriche, Wurst & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;50.85;EUR;2025-12-27 17:02:11+00:00;2026-01-09 16:50:33+00:00
MAG_5906638375617;B0G57WWNNX;KADAX 24er Set Marmeladengläser 425 ml mit Schraubdeckel in Grün/Gold - Robuste Vorratsgläser & Einmachgläser für Chutneys, Eintöpfe, Soßen & Wurstwaren;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;74.65;EUR;2025-12-12 13:19:51+00:00;2026-01-23 15:21:28+00:00
MAG_5906638375167;B0G52YXM3B;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Weiß - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;53.85;EUR;2025-12-13 22:28:09+00:00;2026-02-01 16:21:39+00:00
MAG_5906638374498;B0G52RCHHX;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Silber - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;27.90;EUR;2025-12-09 16:25:42+00:00;2026-02-04 21:27:49+00:00
MAG_5906638374443;B0G521JH2T;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Blaue Rauten - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;3;47.85;EUR;2025-12-14 11:36:48+00:00;2025-12-23 10:44:47+00:00
MAG_5906638374245;B0G522T84T;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Weiß - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;31.90;EUR;2026-01-14 00:28:14+00:00;2026-01-19 19:35:34+00:00
MAG_5906638374221;B0G523SVBW;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Rot Gepunktet - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;31.90;EUR;2025-12-13 07:44:13+00:00;2026-01-20 05:06:22+00:00
MAG_5906638374412;B0G523ZLGG;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Beige - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;31.90;EUR;2025-12-06 13:39:21+00:00;2025-12-14 10:58:24+00:00
MAG_5906638374504;B0G52RPJTC;KADAX 10er Set Mini Marmeladengläser 40 ml ohne Deckel - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;25.25;EUR;2026-01-31 13:15:51+00:00;2026-03-02 17:44:04+00:00
MAG_5906638374313;B0G524QQSS;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Schwarz Matt - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;31.90;EUR;2025-12-09 12:01:54+00:00;2025-12-09 16:06:51+00:00
MAG_5906638374351;B0G5212NGS;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Rosa Gepunktet - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;31.10;EUR;2025-12-15 12:55:45+00:00;2026-02-05 20:07:53+00:00
MAG_3253924831640;B00O4BB2CQ;Curver Tier-Futter-Container 20kg, 54L Metallicfarben, schwarz/Silber, 49,3 x 27,8 x 60,5 cm, große luftdichte Aufbewahrung gegen Gerüche für Hundefutter - Behälter mit Rollen;A1805IZSGTT6HS;;;;spapi_ean_only;2;101.98;EUR;2026-01-06 08:36:14+00:00;2026-02-25 20:54:12+00:00
MAG_5906638375174;B0G532QJMP;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Schwarz Matt - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;36.05;EUR;2025-12-30 23:46:18+00:00;2025-12-30 23:46:18+00:00
MAG_5906638375211;B0G532Y24J;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Schwarz/Gold - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;35.90;EUR;2025-12-06 21:41:31+00:00;2025-12-15 12:58:24+00:00
MAG_5906638374528;B0G52V8793;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Rot - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;27.79;EUR;2025-12-09 00:25:04+00:00;2025-12-09 18:47:34+00:00
MAG_5906638375198;B0G5357LFW;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Schwarz Gepunktet - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;35.90;EUR;2025-12-15 14:31:46+00:00;2025-12-20 17:15:42+00:00
MAG_5906638375709;B0G57TX9JD;KADAX 24er Set Marmeladengläser 425 ml mit Schraubdeckel in Schwarz Gepunktet - Robuste Vorratsgläser & Einmachgläser für Chutneys, Eintöpfe, Soßen & Wurstwaren;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;49.90;EUR;2025-12-25 15:12:40+00:00;2025-12-25 15:12:40+00:00
MAG_5906638375600;B0G57VXVZK;KADAX 24er Set Marmeladengläser 425 ml mit Schraubdeckel in Silber - Robuste Vorratsgläser & Einmachgläser für Chutneys, Eintöpfe, Soßen & Wurstwaren;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;49.90;EUR;2026-01-02 20:31:35+00:00;2026-02-10 17:58:53+00:00
MAG_5906638375457;B0G583FBZP;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Rot Kariert - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;43.90;EUR;2026-02-06 10:22:16+00:00;2026-02-07 13:33:43+00:00
MAG_5906638375501;B0G583ZFZ8;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Obst - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;43.90;EUR;2025-12-29 13:20:44+00:00;2025-12-29 13:20:44+00:00
MAG_5906638375419;B0G5865KSV;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Gold - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;43.90;EUR;2025-12-08 08:00:01+00:00;2025-12-08 09:27:01+00:00
MAG_5906638374917;B0G5PQMMDK;KADAX 10er Set Marmeladengläser 250 ml mit Schraubdeckel in Herz - Dickwandige Einmachgläser für Marmelade, Eingemachtes, Aufstriche, Wurst & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;34.04;EUR;2025-12-27 12:59:16+00:00;2025-12-27 12:59:16+00:00
MAG_5906638376652;B0G5NFL2JC;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Herz - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;33.90;EUR;2025-12-13 12:20:02+00:00;2025-12-13 17:49:02+00:00
MAG_5906638375051;B0G5PP78CN;KADAX 10er Set Marmeladengläser 250 ml mit Schraubdeckel in Grün - Dickwandige Einmachgläser für Marmelade, Eingemachtes, Aufstriche, Wurst & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;33.90;EUR;2025-12-26 11:48:24+00:00;2025-12-26 11:48:24+00:00
MAG_5906638374849;B0G5PQ7X6V;KADAX 10er Set Marmeladengläser 250 ml mit Schraubdeckel in Schwarz - Dickwandige Einmachgläser für Marmelade, Eingemachtes, Aufstriche, Wurst & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;33.90;EUR;2025-12-13 23:23:06+00:00;2025-12-14 22:17:02+00:00
MAG_5906638375891;B0G5YDV9ZT;KADAX 24er Set Einmachgläser 580 ml mit Schraubdeckel in Blau Kariert - Stabile Gläser für Eingemachtes, Wurst, Fleisch, Saucen & Gemüse;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;47.90;EUR;2025-12-26 15:01:04+00:00;2025-12-26 15:01:04+00:00
MAG_5906638374580;B0G58MJZ7C;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Folklore - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;33.90;EUR;2026-03-01 12:33:00+00:00;2026-03-01 12:33:00+00:00
MAG_5906638309131;B0DK1C448B;KADAX Râteau en métal, râteau à copeaux longs, large râteau à tête renforcée, râteau de jardin à long manche en bois, outil de jardin robuste, râteau à gazon (32 dents, bleu);A1RKKUPIHCS9HS;;;B0DJ36V1HH;spapi_ean_only;2;59.98;EUR;2025-12-26 10:24:15+00:00;2026-02-26 05:25:36+00:00
MAG_5906638376621;B0G5NM35VG;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Gold - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;33.90;EUR;2026-02-17 16:08:00+00:00;2026-02-17 16:08:00+00:00
MAG_5906638376829;B0G5NM8ZW7;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Blau Gepunktet - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;33.90;EUR;2025-12-22 17:24:05+00:00;2025-12-22 17:24:05+00:00
MAG_5906638376072;B0G5N2BJ12;KADAX 16er Set Einmachgläser 720 ml mit Schraubdeckel in Schwarz - Großvolumige Vorratsgläser für Gurken, Suppen, Fleischgerichte & Hausgemachte Konserven;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;45.90;EUR;2025-12-27 04:04:26+00:00;2025-12-27 04:04:26+00:00
MAG_5906638376935;B0G59CXWL2;KADAX 4er Set Vorratsgläser 2,5 L mit Schraubdeckeln in Weiß - große Gläser für Vorräte, Fermentation & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;47.90;EUR;2026-01-07 20:16:38+00:00;2026-01-24 03:08:11+00:00
MAG_5906638376997;B0G59D6DY3;KADAX Vorratsglas 3 L mit Schraubdeckel in Gold - großes Gärglas für Sauerkraut, Kombucha & Eingemachtes;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;2;13.90;EUR;2025-12-29 15:17:04+00:00;2025-12-29 15:17:04+00:00
